id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
2263,29-04-2024,30.67,-93.89,1714366800,24.34,25.23,92,1011,4.83,167,0,100,0.62,0,33,[]
2264,29-04-2024,30.7,-94.95,1714366800,22.69,23.5,95,1011,4.85,177,0,100,2.7,0,46,[]
2265,29-04-2024,30.2488,-94.5362,1714366800,23.98,24.91,95,1011,4.18,171,0,100,5.03,0,33,[]
2266,29-04-2024,30.6,-95.2,1714366800,22.25,23.04,96,1011,4.49,174,0,100,0.3,0,68,[]
2267,29-04-2024,29.9917,-94.0085,1714366800,25.35,26.24,88,1011,10.29,140,16.46,100,0.72,0,9,[]
2268,29-04-2024,30.1802,-93.8022,1714366800,25.57,26.35,83,1012,6.17,150,9.77,100,0.16,0,11,[]
2269,29-04-2024,29.66,-95.03,1714366800,25.2,26.15,91,1011,9.26,150,12.35,100,0,0,10,[]
2270,29-04-2024,29.75,-94.94,1714366800,23.44,24.27,93,1011,6.2,176,0,100,10.66,0,12,[]
2271,29-04-2024,29.85,-94.89,1714366800,23.28,24.09,93,1011,6.2,176,0,100,10.66,0,26,[]
2272,29-04-2024,29.38,-95.01,1714366800,24.56,25.26,84,1011,2.68,171,5.36,100,9.85,0,11,[]
2273,01-05-2024,30.8417,-96.1106,1714539600,22.43,22.9,83,1012,0.45,138,1.34,38,0,0,99,[]
2274,02-05-2024,30.8417,-96.1106,1714626000,22.8,23.56,93,1009,3.65,117,0,100,3.61,0,99,[]
2275,03-05-2024,30.8417,-96.1106,1714712400,22.92,23.67,92,1009,0.45,109,1.79,100,0,0,99,[]
2276,04-05-2024,30.8417,-96.1106,1714798800,20.48,21.09,96,1014,0.45,92,1.34,70,0,0,99,[]
2277,05-05-2024,30.8417,-96.1106,1714885200,22.58,23.35,94,1012,0.89,130,3.13,100,0.51,0,99,[]
2278,06-05-2024,30.8417,-96.1106,1714971600,22.53,23.32,95,1012,0.89,186,1.34,66,0,0,99,[]
2279,07-05-2024,30.8417,-96.1106,1715058000,24.28,25.19,93,1006,0.89,157,2.68,47,0,0,99,[]
2280,08-05-2024,30.8417,-96.1106,1715144400,25.53,26.51,91,1005,0.45,167,1.79,100,0,0,99,[]
2281,09-05-2024,30.8417,-96.1106,1715230800,26.44,26.44,94,1005,0.45,165,1.79,45,0,0,99,[]
2282,10-05-2024,30.8417,-96.1106,1715317200,22.25,22.91,91,1010,0.45,288,1.34,87,0,0,99,[]
2283,11-05-2024,30.8417,-96.1106,1715403600,21.5,22.11,92,1014,2.96,25,0,83,0,0,99,[]
2284,12-05-2024,30.8417,-96.1106,1715490000,20.93,21.38,88,1013,0.45,55,3.13,96,0.15,0,99,[]
2285,13-05-2024,30.8417,-96.1106,1715576400,19.65,20.26,99,1008,0.89,317,2.68,100,11.04,0,99,[]
2286,14-05-2024,30.8417,-96.1106,1715662800,19.63,20.23,99,1007,0.89,227,1.79,0,0,0,99,[]
2287,15-05-2024,30.8417,-96.1106,1715749200,18.97,19.4,95,1010,1.97,149,0,0,0,0,99,[]
2288,16-05-2024,30.8417,-96.1106,1715835600,23.43,24.07,86,1008,3.41,163,0,43,0,0,99,[]
2289,01-05-2024,30.137,-95.7948,1714539600,22.25,22.85,89,1012,0.45,98,0.89,26,0,0,77,[]
2290,02-05-2024,30.137,-95.7948,1714626000,23.79,24.71,95,1009,0.89,106,0.89,100,0.25,0,77,[]
2291,03-05-2024,30.137,-95.7948,1714712400,22.68,23.46,94,1009,3.37,137,0,100,0,0,77,[]
2292,04-05-2024,30.137,-95.7948,1714798800,21.12,21.74,94,1014,0.45,39,0.45,93,0,0,77,[]
